,ArUcoTag#47,ArUcoTag#37,ArUcoTag#4,ArUcoTag#61,ArUcoTag#11,ArUcoTag#44,ArUcoTag#22,ArUcoTag#50,ArUcoTag#2,ArUcoTag#3,ArUcoTag#55,ArUcoTag#14,ArUcoTag#17,ArUcoTag#21,ArUcoTag#16,ArUcoTag#54,ArUcoTag#59,ArUcoTag#15,ArUcoTag#45,ArUcoTag#48,ArUcoTag#31,ArUcoTag#35,ArUcoTag#41,ArUcoTag#51,ArUcoTag#52,ArUcoTag#18,ArUcoTag#43,ArUcoTag#29,ArUcoTag#58,ArUcoTag#26,ArUcoTag#5,ArUcoTag#56,ArUcoTag#60,ArUcoTag#19,ArUcoTag#36,ArUcoTag#42,ArUcoTag#24,ArUcoTag#49,ArUcoTag#13,ArUcoTag#32,ArUcoTag#6,ArUcoTag#38,ArUcoTag#46,ArUcoTag#20,ArUcoTag#10,ArUcoTag#53,ArUcoTag#8,ArUcoTag#27,ArUcoTag#23,ArUcoTag#39,ArUcoTag#57
ArUcoTag#55,6379.0,3936.0,3000.0,3767.0,5138.0,4918.0,2743.0,3514.0,2897.0,2639.0,0.0,3702.0,3492.0,3546.0,3269.0,3457.0,3726.0,4128.0,3290.0,8013.0,8117.0,4151.0,3491.0,3778.0,3827.0,3592.0,4119.0,3342.0,4049.0,3524.0,4514.0,3173.0,2936.0,2437.0,2999.0,3936.0,4106.0,2907.0,4167.0,3980.0,5140.0,3836.0,4360.0,2896.0,4472.0,3041.0,4089.0,4673.0,3652.0,3628.0,4928.0
ArUcoTag#14,3536.0,5035.0,4000.0,4465.0,4511.0,5644.0,3509.0,6271.0,4049.0,1890.0,3702.0,0.0,3017.0,2872.0,4136.0,4100.0,6141.0,5227.0,4063.0,4831.0,4147.0,6342.0,4349.0,3957.0,3471.0,4309.0,5892.0,4171.0,4771.0,4171.0,4176.0,4250.0,2992.0,2834.0,4164.0,3415.0,4867.0,2547.0,4113.0,2685.0,3734.0,4242.0,3647.0,3730.0,4131.0,3715.0,4959.0,5003.0,3546.0,5338.0,4675.0
ArUcoTag#17,3982.0,2888.0,2951.0,3459.0,4293.0,4118.0,3176.0,4843.0,2772.0,1564.0,3492.0,3017.0,0.0,3242.0,4038.0,3657.0,4183.0,3010.0,4548.0,3480.0,5572.0,3815.0,3230.0,2845.0,2771.0,3159.0,4021.0,4292.0,4732.0,3467.0,3946.0,2911.0,3485.0,3046.0,3223.0,4297.0,3757.0,2333.0,3591.0,3095.0,3921.0,3813.0,3475.0,3696.0,3942.0,3185.0,4729.0,4237.0,3393.0,4517.0,4542.0
ArUcoTag#21,5127.0,3227.0,2624.0,4953.0,4111.0,3988.0,2509.0,5988.0,2066.0,2184.0,3546.0,2872.0,3242.0,0.0,3905.0,4274.0,5103.0,4278.0,6626.0,5770.0,3692.0,4556.0,4902.0,3490.0,4053.0,2559.0,4400.0,3050.0,3966.0,2879.0,3863.0,2979.0,3051.0,1978.0,2694.0,3126.0,3807.0,2065.0,3383.0,3140.0,3372.0,4691.0,2871.0,3104.0,4151.0,3474.0,6036.0,4138.0,2656.0,4026.0,3703.0
ArUcoTag#16,4340.0,5493.0,4268.0,5448.0,6977.0,6359.0,5215.0,4543.0,3452.0,2892.0,3269.0,4136.0,4038.0,3905.0,0.0,5394.0,6922.0,5542.0,4094.0,4349.0,4976.0,5695.0,3275.0,5331.0,5217.0,6152.0,7396.0,6070.0,6763.0,20491.0,6252.0,5890.0,6264.0,4107.0,5888.0,4017.0,6052.0,3946.0,4897.0,4693.0,5133.0,5082.0,5232.0,5862.0,6244.0,5456.0,6143.0,6401.0,4534.0,5859.0,6261.0
ArUcoTag#54,8565.0,7958.0,6012.0,5087.0,7358.0,7025.0,5249.0,4951.0,3228.0,2250.0,3457.0,4100.0,3657.0,4274.0,5394.0,0.0,6281.0,5653.0,4358.0,7704.0,5468.0,6047.0,4903.0,5536.0,4953.0,4064.0,5328.0,7052.0,7856.0,6541.0,9179.0,8280.0,6384.0,4332.0,6218.0,5337.0,7254.0,4526.0,7748.0,5452.0,4247.0,6807.0,6898.0,5324.0,7316.0,6757.0,8696.0,6837.0,5934.0,7139.0,7595.0
ArUcoTag#59,5252.0,7675.0,5389.0,8283.0,5729.0,7177.0,4725.0,6566.0,3406.0,2641.0,3726.0,6141.0,4183.0,5103.0,6922.0,6281.0,0.0,5295.0,4963.0,7052.0,6417.0,6686.0,4898.0,6380.0,6019.0,6425.0,5406.0,5983.0,6353.0,5569.0,5280.0,7056.0,5486.0,3975.0,5535.0,4808.0,6963.0,3973.0,8474.0,3842.0,5554.0,5677.0,6146.0,4454.0,7431.0,5826.0,5826.0,6027.0,5637.0,6689.0,5791.0
ArUcoTag#15,4756.0,6209.0,4275.0,5488.0,5618.0,5120.0,5031.0,6090.0,3468.0,3053.0,4128.0,5227.0,3010.0,4278.0,5542.0,5653.0,5295.0,0.0,4131.0,5429.0,8156.0,6324.0,5571.0,5949.0,3855.0,4883.0,5123.0,5345.0,6491.0,5855.0,5838.0,6571.0,4345.0,3238.0,5197.0,5155.0,6263.0,3383.0,5933.0,3769.0,5698.0,6323.0,6502.0,4514.0,6154.0,4990.0,5622.0,5272.0,5787.0,7432.0,6201.0
ArUcoTag#45,4740.0,4693.0,3922.0,4290.0,4359.0,4962.0,3593.0,5538.0,2632.0,2041.0,3290.0,4063.0,4548.0,6626.0,4094.0,4358.0,4963.0,4131.0,0.0,4768.0,4856.0,6892.0,4064.0,4016.0,4564.0,5322.0,5397.0,5846.0,4949.0,7877.0,4849.0,5273.0,4954.0,3669.0,6004.0,5748.0,4879.0,4148.0,5895.0,4865.0,5953.0,6989.0,5349.0,5922.0,6215.0,5119.0,5428.0,5133.0,5686.0,5623.0,6768.0
ArUcoTag#48,10755.0,5866.0,5069.0,5187.0,5949.0,6246.0,3546.0,5148.0,3674.0,2282.0,8013.0,4831.0,3480.0,5770.0,4349.0,7704.0,7052.0,5429.0,4768.0,0.0,6771.0,5299.0,6457.0,5846.0,5644.0,4942.0,6429.0,5583.0,5990.0,4289.0,6286.0,6475.0,4263.0,2912.0,4983.0,4912.0,5000.0,3263.0,5760.0,7572.0,5603.0,5922.0,5660.0,5613.0,5950.0,4144.0,7923.0,5660.0,4399.0,4730.0,6712.0
ArUcoTag#31,4336.0,5262.0,3960.0,5297.0,6422.0,6441.0,4610.0,6518.0,3758.0,2477.0,8117.0,4147.0,5572.0,3692.0,4976.0,5468.0,6417.0,8156.0,4856.0,6771.0,0.0,6244.0,3751.0,4499.0,5123.0,4808.0,4980.0,6416.0,5489.0,8015.0,6963.0,5469.0,4358.0,3427.0,5542.0,4806.0,5479.0,3208.0,5351.0,5067.0,6832.0,7262.0,5860.0,4427.0,5967.0,5070.0,5083.0,5095.0,4990.0,6091.0,6328.0
ArUcoTag#35,5306.0,5850.0,4464.0,6145.0,5602.0,5529.0,4367.0,5501.0,5229.0,2455.0,4151.0,6342.0,3815.0,4556.0,5695.0,6047.0,6686.0,6324.0,6892.0,5299.0,6244.0,0.0,5050.0,5428.0,5459.0,4282.0,6130.0,5728.0,5630.0,4692.0,6351.0,5644.0,4361.0,2890.0,5234.0,5534.0,6457.0,3374.0,4987.0,4660.0,6514.0,6643.0,4873.0,5038.0,5978.0,5535.0,5797.0,4828.0,5198.0,6026.0,5464.0
ArUcoTag#41,5989.0,4645.0,4075.0,4907.0,4917.0,6103.0,3379.0,5158.0,3914.0,1784.0,3491.0,4349.0,3230.0,4902.0,3275.0,4903.0,4898.0,5571.0,4064.0,6457.0,3751.0,5050.0,0.0,3847.0,3950.0,3524.0,4189.0,4367.0,5755.0,5076.0,4938.0,3955.0,4386.0,2825.0,5009.0,3137.0,4353.0,3875.0,5440.0,3600.0,4229.0,4889.0,5360.0,4412.0,4928.0,3126.0,4795.0,5521.0,4638.0,4590.0,6220.0
ArUcoTag#51,6281.0,6928.0,4303.0,5229.0,5601.0,5208.0,4643.0,4951.0,2835.0,2161.0,3778.0,3957.0,2845.0,3490.0,5331.0,5536.0,6380.0,5949.0,4016.0,5846.0,4499.0,5428.0,3847.0,0.0,3949.0,3957.0,4989.0,4845.0,5599.0,6187.0,4831.0,5422.0,4973.0,3372.0,5654.0,4905.0,6038.0,3028.0,5188.0,3625.0,5500.0,5227.0,5033.0,4911.0,5798.0,4293.0,4410.0,5362.0,3974.0,5508.0,5140.0
