,ArUcoTag#52,ArUcoTag#2,ArUcoTag#50,ArUcoTag#59,ArUcoTag#18,ArUcoTag#36,ArUcoTag#20,ArUcoTag#25,ArUcoTag#10,ArUcoTag#19,ArUcoTag#26,ArUcoTag#27,ArUcoTag#12,ArUcoTag#31,ArUcoTag#17,ArUcoTag#21,ArUcoTag#44,ArUcoTag#48,ArUcoTag#23,ArUcoTag#28,ArUcoTag#1,ArUcoTag#38,ArUcoTag#37,ArUcoTag#42,ArUcoTag#11,ArUcoTag#46,ArUcoTag#34,ArUcoTag#60,ArUcoTag#7,ArUcoTag#22,ArUcoTag#58,ArUcoTag#49,ArUcoTag#29,ArUcoTag#47,ArUcoTag#3,ArUcoTag#40,ArUcoTag#43,ArUcoTag#55,ArUcoTag#39,ArUcoTag#54,ArUcoTag#24,ArUcoTag#14,ArUcoTag#53,ArUcoTag#13,ArUcoTag#4,ArUcoTag#8,ArUcoTag#33,ArUcoTag#5,ArUcoTag#6,ArUcoTag#9
ArUcoTag#26,27440.0,2688.0,2181.0,5111.0,4722.0,5701.0,5858.0,6118.0,7326.0,7003.0,0.0,5312.0,6299.0,6034.0,6895.0,6491.0,4354.0,5216.0,5180.0,3843.0,3890.0,3751.0,3631.0,3278.0,3672.0,4757.0,5592.0,4522.0,5375.0,3617.0,4503.0,4295.0,4281.0,4419.0,6097.0,5465.0,6093.0,6204.0,6507.0,5056.0,5923.0,4789.0,4392.0,5226.0,5531.0,5751.0,4695.0,6316.0,5076.0,5030.0
ArUcoTag#27,30397.0,2648.0,2085.0,4227.0,5332.0,5672.0,6728.0,5947.0,4739.0,6998.0,5312.0,0.0,5911.0,4793.0,5698.0,5020.0,3973.0,4099.0,5189.0,5117.0,3727.0,3874.0,3229.0,3184.0,4120.0,3381.0,5452.0,4555.0,3974.0,3291.0,3444.0,3500.0,5146.0,3522.0,4994.0,4758.0,5137.0,5479.0,4549.0,5324.0,5256.0,4674.0,4256.0,4022.0,5502.0,5884.0,4931.0,5042.0,5412.0,6740.0
ArUcoTag#12,29774.0,2354.0,2316.0,5421.0,7902.0,6483.0,8279.0,5904.0,6655.0,6158.0,6299.0,5911.0,0.0,5848.0,6748.0,5639.0,5390.0,4487.0,4184.0,4788.0,3661.0,4213.0,4173.0,3262.0,4051.0,4335.0,5264.0,4221.0,4321.0,5225.0,4443.0,5002.0,4347.0,3909.0,4679.0,5648.0,5004.0,6320.0,4970.0,4758.0,4802.0,4745.0,4972.0,5065.0,5528.0,5929.0,4880.0,6244.0,5151.0,5583.0
ArUcoTag#31,29346.0,4896.0,2560.0,5130.0,6544.0,5311.0,6137.0,4935.0,6140.0,6530.0,6034.0,4793.0,5848.0,0.0,6427.0,6932.0,5343.0,7610.0,4984.0,4264.0,4099.0,3696.0,2485.0,2559.0,4725.0,4967.0,6204.0,4066.0,5309.0,5555.0,4616.0,5950.0,4827.0,3256.0,4515.0,6782.0,5217.0,5958.0,4679.0,5065.0,5109.0,4972.0,4988.0,5052.0,4163.0,4552.0,5579.0,5628.0,4612.0,5103.0
ArUcoTag#17,27546.0,2787.0,2116.0,6127.0,5891.0,8517.0,7279.0,6989.0,5014.0,7092.0,6895.0,5698.0,6748.0,6427.0,0.0,6253.0,5294.0,4747.0,4985.0,5594.0,4306.0,5336.0,4074.0,3388.0,4581.0,3544.0,6218.0,4893.0,4711.0,4225.0,5576.0,5001.0,4290.0,5265.0,7067.0,6872.0,5289.0,6206.0,5195.0,6085.0,5733.0,5630.0,4950.0,5054.0,5324.0,6633.0,5369.0,5546.0,7098.0,5738.0
ArUcoTag#21,31556.0,3236.0,2777.0,5745.0,6863.0,4818.0,7991.0,5022.0,5554.0,8211.0,6491.0,5020.0,5639.0,6932.0,6253.0,0.0,5682.0,4148.0,5120.0,4401.0,3549.0,3565.0,2781.0,2557.0,5898.0,4189.0,5995.0,5887.0,7002.0,4676.0,3159.0,4503.0,4466.0,3475.0,5851.0,5897.0,5270.0,5873.0,5473.0,5279.0,6421.0,5125.0,5779.0,5131.0,4573.0,5757.0,5007.0,4876.0,8149.0,5865.0
ArUcoTag#44,6240.0,2332.0,1468.0,5030.0,4449.0,3607.0,6248.0,4201.0,4496.0,3862.0,4354.0,3973.0,5390.0,5343.0,5294.0,5682.0,0.0,3159.0,4945.0,3096.0,3176.0,1854.0,2118.0,1621.0,3284.0,2846.0,4343.0,3005.0,3878.0,2801.0,2352.0,2328.0,2683.0,2004.0,3824.0,4481.0,3423.0,4098.0,2732.0,4248.0,4300.0,4284.0,3532.0,2744.0,3916.0,4064.0,11344.0,4965.0,3451.0,3951.0
ArUcoTag#48,10306.0,1896.0,1194.0,3959.0,4482.0,5084.0,4889.0,5313.0,5838.0,5270.0,5216.0,4099.0,4487.0,7610.0,4747.0,4148.0,3159.0,0.0,4232.0,3858.0,3268.0,3170.0,3318.0,2564.0,3237.0,4089.0,3869.0,3840.0,2994.0,8394.0,4241.0,4456.0,4023.0,4649.0,5691.0,4672.0,5327.0,7089.0,4472.0,6922.0,3513.0,3994.0,3889.0,3592.0,5282.0,5549.0,4253.0,4343.0,4538.0,5187.0
ArUcoTag#23,13725.0,2335.0,2873.0,5162.0,4387.0,4277.0,4126.0,3768.0,5108.0,5700.0,5180.0,5189.0,4184.0,4984.0,4985.0,5120.0,4945.0,4232.0,0.0,3540.0,3238.0,2570.0,2257.0,2180.0,3988.0,3674.0,4236.0,3888.0,3669.0,3988.0,3718.0,3673.0,3243.0,3073.0,3701.0,4472.0,4588.0,6228.0,3728.0,4061.0,4435.0,4336.0,3597.0,3325.0,3897.0,5229.0,3919.0,5111.0,5342.0,5016.0
ArUcoTag#28,10312.0,1920.0,1322.0,4307.0,4289.0,3959.0,4287.0,4678.0,5645.0,4559.0,3843.0,5117.0,4788.0,4264.0,5594.0,4401.0,3096.0,3858.0,3540.0,0.0,3771.0,3767.0,2595.0,2431.0,3305.0,3724.0,4859.0,3357.0,4584.0,3332.0,3217.0,4376.0,4577.0,3918.0,4031.0,4262.0,4684.0,6873.0,4105.0,4063.0,6168.0,4970.0,3325.0,3268.0,3282.0,5865.0,3904.0,4738.0,5980.0,4144.0
